arm,config,seed,sat,sent,acc
cwseed,MSW_path_sf10_p70_S25_MLow_Chain,2,128,495,25.8586
cwseed,MSW_path_sf10_p70_S25_MMedium_Chain,0,129,496,26.0081
cwseed,MSW_path_sf10_p70_S25_MMedium_Chain,1,137,496,27.621
cwseed,MSW_path_sf10_p70_S25_MMedium_Chain,2,129,496,26.0081
cwseed,MSW_path_sf10_p70_S50_M0_Chain,0,298,496,60.0806
cwseed,MSW_path_sf10_p70_S50_M0_Chain,1,306,496,61.6935
cwseed,MSW_path_sf10_p70_S50_M0_Chain,2,302,496,60.8871
cwseed,MSW_path_sf10_p70_S50_MHigh_Chain,0,287,496,57.8629
cwseed,MSW_path_sf10_p70_S50_MHigh_Chain,1,276,496,55.6452
cwseed,MSW_path_sf10_p70_S50_MHigh_Chain,2,295,496,59.4758
cwseed,MSW_path_sf10_p70_S50_MLow_Chain,0,324,495,65.4545
cwseed,MSW_path_sf10_p70_S50_MLow_Chain,1,287,495,57.9798
cwseed,MSW_path_sf10_p70_S50_MLow_Chain,2,281,495,56.7677
cwseed,MSW_path_sf10_p70_S50_MMedium_Chain,0,289,496,58.2661
cwseed,MSW_path_sf10_p70_S50_MMedium_Chain,1,279,496,56.25
cwseed,MSW_path_sf10_p70_S50_MMedium_Chain,2,259,496,52.2177
cwseed,MSW_path_sf10_p70_S75_M0_Chain,0,319,496,64.3145
cwseed,MSW_path_sf10_p70_S75_M0_Chain,1,322,496,64.9194
cwseed,MSW_path_sf10_p70_S75_M0_Chain,2,313,496,63.1048
cwseed,MSW_path_sf10_p70_S75_MHigh_Chain,0,330,496,66.5323
cwseed,MSW_path_sf10_p70_S75_MHigh_Chain,1,317,496,63.9113
cwseed,MSW_path_sf10_p70_S75_MHigh_Chain,2,321,496,64.7177
cwseed,MSW_path_sf10_p70_S75_MLow_Chain,0,329,495,66.4646
cwseed,MSW_path_sf10_p70_S75_MLow_Chain,1,338,495,68.2828
cwseed,MSW_path_sf10_p70_S75_MLow_Chain,2,317,495,64.0404
cwseed,MSW_path_sf10_p70_S75_MMedium_Chain,0,320,496,64.5161
cwseed,MSW_path_sf10_p70_S75_MMedium_Chain,1,326,496,65.7258
cwseed,MSW_path_sf10_p70_S75_MMedium_Chain,2,313,496,63.1048
ddqnseed,MSW_path_sf10_p70_S100_M0_Chain,0,388,496,78.2258
ddqnseed,MSW_path_sf10_p70_S100_M0_Chain,1,379,496,76.4113
ddqnseed,MSW_path_sf10_p70_S100_M0_Chain,2,379,496,76.4113
ddqnseed,MSW_path_sf10_p70_S100_MHigh_Chain,0,388,496,78.2258
ddqnseed,MSW_path_sf10_p70_S100_MHigh_Chain,1,383,496,77.2177
ddqnseed,MSW_path_sf10_p70_S100_MHigh_Chain,2,386,496,77.8226
ddqnseed,MSW_path_sf10_p70_S100_MLow_Chain,0,381,495,76.9697
ddqnseed,MSW_path_sf10_p70_S100_MLow_Chain,1,381,495,76.9697
ddqnseed,MSW_path_sf10_p70_S100_MLow_Chain,2,385,495,77.7778
ddqnseed,MSW_path_sf10_p70_S100_MMedium_Chain,0,387,496,78.0242
ddqnseed,MSW_path_sf10_p70_S100_MMedium_Chain,1,392,496,79.0323
ddqnseed,MSW_path_sf10_p70_S100_MMedium_Chain,2,394,496,79.4355
ddqnseed,MSW_path_sf10_p70_S25_M0_Chain,0,126,496,25.4032
ddqnseed,MSW_path_sf10_p70_S25_M0_Chain,1,130,496,26.2097
ddqnseed,MSW_path_sf10_p70_S25_M0_Chain,2,128,496,25.8065
ddqnseed,MSW_path_sf10_p70_S25_MHigh_Chain,0,160,496,32.2581
ddqnseed,MSW_path_sf10_p70_S25_MHigh_Chain,1,153,496,30.8468
ddqnseed,MSW_path_sf10_p70_S25_MHigh_Chain,2,156,496,31.4516
ddqnseed,MSW_path_sf10_p70_S25_MLow_Chain,0,117,495,23.6364
ddqnseed,MSW_path_sf10_p70_S25_MLow_Chain,1,122,495,24.6465
ddqnseed,MSW_path_sf10_p70_S25_MLow_Chain,2,108,495,21.8182
ddqnseed,MSW_path_sf10_p70_S25_MMedium_Chain,0,127,496,25.6048
ddqnseed,MSW_path_sf10_p70_S25_MMedium_Chain,1,142,496,28.629
ddqnseed,MSW_path_sf10_p70_S25_MMedium_Chain,2,116,496,23.3871
ddqnseed,MSW_path_sf10_p70_S50_M0_Chain,0,321,496,64.7177
ddqnseed,MSW_path_sf10_p70_S50_M0_Chain,1,302,496,60.8871
ddqnseed,MSW_path_sf10_p70_S50_M0_Chain,2,315,496,63.5081
ddqnseed,MSW_path_sf10_p70_S50_MHigh_Chain,0,314,496,63.3065
ddqnseed,MSW_path_sf10_p70_S50_MHigh_Chain,1,293,496,59.0726
ddqnseed,MSW_path_sf10_p70_S50_MHigh_Chain,2,299,496,60.2823
ddqnseed,MSW_path_sf10_p70_S50_MLow_Chain,0,312,495,63.0303
ddqnseed,MSW_path_sf10_p70_S50_MLow_Chain,1,312,495,63.0303
ddqnseed,MSW_path_sf10_p70_S50_MLow_Chain,2,310,495,62.6263
