arm,config,seed,requests,planned_in_log,log_coverage,S,S_pct,L,L_pct,X,X_pct,R,R_pct,D,D_pct,U,U_pct
afs120,MSW_path_sf10_p70_S75_M0_Chain,0,496,495,0.998,324,65.323,0,0.0,0,0.0,31,6.25,140,28.226,1,0.202
afs120,MSW_path_sf10_p70_S75_M0_Chain,1,496,495,0.998,311,62.702,1,0.202,0,0.0,44,8.871,139,28.024,1,0.202
afs120,MSW_path_sf10_p70_S75_M0_Chain,2,496,495,0.998,321,64.718,1,0.202,0,0.0,39,7.863,134,27.016,1,0.202
afs120,MSW_path_sf10_p70_S75_MHigh_Chain,0,496,495,0.998,311,62.702,0,0.0,4,0.806,12,2.419,168,33.871,1,0.202
afs120,MSW_path_sf10_p70_S75_MHigh_Chain,1,496,495,0.998,325,65.524,0,0.0,3,0.605,13,2.621,154,31.048,1,0.202
afs120,MSW_path_sf10_p70_S75_MHigh_Chain,2,496,495,0.998,310,62.5,0,0.0,1,0.202,14,2.823,170,34.274,1,0.202
afs120,MSW_path_sf10_p70_S75_MLow_Chain,0,495,495,1.0,315,63.636,0,0.0,4,0.808,16,3.232,160,32.323,0,0.0
afs120,MSW_path_sf10_p70_S75_MLow_Chain,1,495,495,1.0,331,66.869,0,0.0,2,0.404,18,3.636,144,29.091,0,0.0
afs120,MSW_path_sf10_p70_S75_MLow_Chain,2,495,495,1.0,302,61.01,6,1.212,0,0.0,30,6.061,157,31.717,0,0.0
afs120,MSW_path_sf10_p70_S75_MMedium_Chain,0,496,495,0.998,318,64.113,0,0.0,1,0.202,17,3.427,159,32.056,1,0.202
afs120,MSW_path_sf10_p70_S75_MMedium_Chain,1,496,495,0.998,306,61.694,0,0.0,0,0.0,17,3.427,172,34.677,1,0.202
afs120,MSW_path_sf10_p70_S75_MMedium_Chain,2,496,495,0.998,306,61.694,0,0.0,3,0.605,23,4.637,163,32.863,1,0.202
cwfree120,MSW_path_sf10_p70_S100_M0_Chain,0,496,495,0.998,382,77.016,0,0.0,0,0.0,0,0.0,113,22.782,1,0.202
cwfree120,MSW_path_sf10_p70_S100_M0_Chain,1,496,495,0.998,375,75.605,2,0.403,0,0.0,0,0.0,118,23.79,1,0.202
cwfree120,MSW_path_sf10_p70_S100_M0_Chain,2,496,495,0.998,367,73.992,0,0.0,0,0.0,0,0.0,128,25.806,1,0.202
cwfree120,MSW_path_sf10_p70_S100_MHigh_Chain,0,496,495,0.998,377,76.008,0,0.0,0,0.0,0,0.0,118,23.79,1,0.202
cwfree120,MSW_path_sf10_p70_S100_MHigh_Chain,1,496,495,0.998,360,72.581,1,0.202,0,0.0,1,0.202,133,26.815,1,0.202
cwfree120,MSW_path_sf10_p70_S100_MHigh_Chain,2,496,495,0.998,382,77.016,0,0.0,0,0.0,0,0.0,113,22.782,1,0.202
cwfree120,MSW_path_sf10_p70_S100_MLow_Chain,0,495,495,1.0,367,74.141,0,0.0,0,0.0,0,0.0,128,25.859,0,0.0
cwfree120,MSW_path_sf10_p70_S100_MLow_Chain,1,495,495,1.0,369,74.545,1,0.202,0,0.0,0,0.0,125,25.253,0,0.0
cwfree120,MSW_path_sf10_p70_S100_MLow_Chain,2,495,495,1.0,367,74.141,0,0.0,0,0.0,0,0.0,128,25.859,0,0.0
cwfree120,MSW_path_sf10_p70_S100_MMedium_Chain,0,496,494,0.996,380,76.613,0,0.0,0,0.0,0,0.0,114,22.984,2,0.403
