arm,config,seed,sat,sent,acc
afs120,MSW_path_sf10_p70_S100_M0_Chain,0,365,496,73.5887
afs120,MSW_path_sf10_p70_S100_M0_Chain,1,357,496,71.9758
afs120,MSW_path_sf10_p70_S100_M0_Chain,2,358,496,72.1774
afs120,MSW_path_sf10_p70_S100_MHigh_Chain,0,355,496,71.5726
afs120,MSW_path_sf10_p70_S100_MHigh_Chain,1,338,496,68.1452
afs120,MSW_path_sf10_p70_S100_MHigh_Chain,2,355,496,71.5726
afs120,MSW_path_sf10_p70_S100_MLow_Chain,0,365,495,73.7374
afs120,MSW_path_sf10_p70_S100_MLow_Chain,1,348,495,70.303
afs120,MSW_path_sf10_p70_S100_MLow_Chain,2,363,495,73.3333
afs120,MSW_path_sf10_p70_S100_MMedium_Chain,0,350,496,70.5645
afs120,MSW_path_sf10_p70_S100_MMedium_Chain,1,362,496,72.9839
afs120,MSW_path_sf10_p70_S100_MMedium_Chain,2,353,496,71.1694
afs120,MSW_path_sf10_p70_S25_M0_Chain,0,89,496,17.9435
afs120,MSW_path_sf10_p70_S25_M0_Chain,1,88,496,17.7419
afs120,MSW_path_sf10_p70_S25_M0_Chain,2,89,496,17.9435
afs120,MSW_path_sf10_p70_S25_MHigh_Chain,0,169,496,34.0726
afs120,MSW_path_sf10_p70_S25_MHigh_Chain,1,159,496,32.0565
afs120,MSW_path_sf10_p70_S25_MHigh_Chain,2,164,496,33.0645
afs120,MSW_path_sf10_p70_S25_MLow_Chain,0,130,495,26.2626
afs120,MSW_path_sf10_p70_S25_MLow_Chain,1,116,495,23.4343
afs120,MSW_path_sf10_p70_S25_MLow_Chain,2,108,495,21.8182
afs120,MSW_path_sf10_p70_S25_MMedium_Chain,0,133,496,26.8145
afs120,MSW_path_sf10_p70_S25_MMedium_Chain,1,123,496,24.7984
afs120,MSW_path_sf10_p70_S25_MMedium_Chain,2,118,496,23.7903
afs120,MSW_path_sf10_p70_S50_M0_Chain,0,293,496,59.0726
afs120,MSW_path_sf10_p70_S50_M0_Chain,1,289,496,58.2661
afs120,MSW_path_sf10_p70_S50_M0_Chain,2,292,496,58.871
afs120,MSW_path_sf10_p70_S50_MHigh_Chain,0,272,496,54.8387
afs120,MSW_path_sf10_p70_S50_MHigh_Chain,1,272,496,54.8387
afs120,MSW_path_sf10_p70_S50_MHigh_Chain,2,263,496,53.0242
afs120,MSW_path_sf10_p70_S50_MLow_Chain,0,286,495,57.7778
afs120,MSW_path_sf10_p70_S50_MLow_Chain,1,286,495,57.7778
afs120,MSW_path_sf10_p70_S50_MLow_Chain,2,258,495,52.1212
afs120,MSW_path_sf10_p70_S50_MMedium_Chain,0,269,496,54.2339
afs120,MSW_path_sf10_p70_S50_MMedium_Chain,1,253,496,51.0081
afs120,MSW_path_sf10_p70_S50_MMedium_Chain,2,250,496,50.4032
afs120,MSW_path_sf10_p70_S75_M0_Chain,0,324,496,65.3226
afs120,MSW_path_sf10_p70_S75_M0_Chain,1,322,496,64.9194
afs120,MSW_path_sf10_p70_S75_M0_Chain,2,325,496,65.5242
afs120,MSW_path_sf10_p70_S75_MHigh_Chain,0,313,496,63.1048
afs120,MSW_path_sf10_p70_S75_MHigh_Chain,1,317,496,63.9113
afs120,MSW_path_sf10_p70_S75_MHigh_Chain,2,310,496,62.5
afs120,MSW_path_sf10_p70_S75_MLow_Chain,0,318,495,64.2424
afs120,MSW_path_sf10_p70_S75_MLow_Chain,1,313,495,63.2323
afs120,MSW_path_sf10_p70_S75_MLow_Chain,2,320,495,64.6465
afs120,MSW_path_sf10_p70_S75_MMedium_Chain,0,312,496,62.9032
afs120,MSW_path_sf10_p70_S75_MMedium_Chain,1,324,496,65.3226
afs120,MSW_path_sf10_p70_S75_MMedium_Chain,2,308,496,62.0968
cwfree120,MSW_path_sf10_p70_S100_M0_Chain,0,389,496,78.4274
cwfree120,MSW_path_sf10_p70_S100_M0_Chain,1,379,496,76.4113
cwfree120,MSW_path_sf10_p70_S100_M0_Chain,2,379,496,76.4113
cwfree120,MSW_path_sf10_p70_S100_MHigh_Chain,0,375,496,75.6048
cwfree120,MSW_path_sf10_p70_S100_MHigh_Chain,1,369,496,74.3952
cwfree120,MSW_path_sf10_p70_S100_MHigh_Chain,2,363,496,73.1855
cwfree120,MSW_path_sf10_p70_S100_MLow_Chain,0,367,495,74.1414
cwfree120,MSW_path_sf10_p70_S100_MLow_Chain,1,358,495,72.3232
cwfree120,MSW_path_sf10_p70_S100_MLow_Chain,2,376,495,75.9596
cwfree120,MSW_path_sf10_p70_S100_MMedium_Chain,0,379,496,76.4113
cwfree120,MSW_path_sf10_p70_S100_MMedium_Chain,1,370,496,74.5968
cwfree120,MSW_path_sf10_p70_S100_MMedium_Chain,2,371,496,74.7984
cwfree120,MSW_path_sf10_p70_S25_M0_Chain,0,119,496,23.9919
cwfree120,MSW_path_sf10_p70_S25_M0_Chain,1,121,496,24.3952
cwfree120,MSW_path_sf10_p70_S25_M0_Chain,2,130,496,26.2097
cwfree120,MSW_path_sf10_p70_S25_MHigh_Chain,0,178,496,35.8871
cwfree120,MSW_path_sf10_p70_S25_MHigh_Chain,1,143,496,28.8306
cwfree120,MSW_path_sf10_p70_S25_MHigh_Chain,2,155,496,31.25
cwfree120,MSW_path_sf10_p70_S25_MLow_Chain,0,132,495,26.6667
cwfree120,MSW_path_sf10_p70_S25_MLow_Chain,1,131,495,26.4646
cwfree120,MSW_path_sf10_p70_S25_MLow_Chain,2,120,495,24.2424
cwfree120,MSW_path_sf10_p70_S25_MMedium_Chain,0,140,496,28.2258
cwfree120,MSW_path_sf10_p70_S25_MMedium_Chain,1,116,496,23.3871
cwfree120,MSW_path_sf10_p70_S25_MMedium_Chain,2,124,496,25.0
cwfree120,MSW_path_sf10_p70_S50_M0_Chain,0,309,496,62.2984
cwfree120,MSW_path_sf10_p70_S50_M0_Chain,1,294,496,59.2742
cwfree120,MSW_path_sf10_p70_S50_M0_Chain,2,301,496,60.6855
cwfree120,MSW_path_sf10_p70_S50_MHigh_Chain,0,304,496,61.2903
cwfree120,MSW_path_sf10_p70_S50_MHigh_Chain,1,286,496,57.6613
cwfree120,MSW_path_sf10_p70_S50_MHigh_Chain,2,323,496,65.121
cwfree120,MSW_path_sf10_p70_S50_MLow_Chain,0,302,495,61.0101
cwfree120,MSW_path_sf10_p70_S50_MLow_Chain,1,289,495,58.3838
cwfree120,MSW_path_sf10_p70_S50_MLow_Chain,2,300,495,60.6061
cwfree120,MSW_path_sf10_p70_S50_MMedium_Chain,0,279,496,56.25
cwfree120,MSW_path_sf10_p70_S50_MMedium_Chain,1,284,496,57.2581
cwfree120,MSW_path_sf10_p70_S50_MMedium_Chain,2,278,496,56.0484
cwfree120,MSW_path_sf10_p70_S75_M0_Chain,0,319,496,64.3145
cwfree120,MSW_path_sf10_p70_S75_M0_Chain,1,308,496,62.0968
cwfree120,MSW_path_sf10_p70_S75_M0_Chain,2,311,496,62.7016
cwfree120,MSW_path_sf10_p70_S75_MHigh_Chain,0,342,496,68.9516
cwfree120,MSW_path_sf10_p70_S75_MHigh_Chain,1,307,496,61.8952
cwfree120,MSW_path_sf10_p70_S75_MHigh_Chain,2,315,496,63.5081
cwfree120,MSW_path_sf10_p70_S75_MLow_Chain,0,340,495,68.6869
cwfree120,MSW_path_sf10_p70_S75_MLow_Chain,1,327,495,66.0606
cwfree120,MSW_path_sf10_p70_S75_MLow_Chain,2,312,495,63.0303
cwfree120,MSW_path_sf10_p70_S75_MMedium_Chain,0,322,496,64.9194
cwfree120,MSW_path_sf10_p70_S75_MMedium_Chain,1,303,496,61.0887
cwfree120,MSW_path_sf10_p70_S75_MMedium_Chain,2,319,496,64.3145
ddqn,MSW_path_sf10_p70_S100_M0_Chain,0,384,496,77.4194
ddqn,MSW_path_sf10_p70_S100_M0_Chain,1,382,496,77.0161
ddqn,MSW_path_sf10_p70_S100_M0_Chain,2,369,496,74.3952
ddqn,MSW_path_sf10_p70_S100_MHigh_Chain,0,388,496,78.2258
ddqn,MSW_path_sf10_p70_S100_MHigh_Chain,1,397,496,80.0403
ddqn,MSW_path_sf10_p70_S100_MHigh_Chain,2,386,496,77.8226
ddqn,MSW_path_sf10_p70_S100_MLow_Chain,0,384,495,77.5758
ddqn,MSW_path_sf10_p70_S100_MLow_Chain,1,392,495,79.1919
ddqn,MSW_path_sf10_p70_S100_MLow_Chain,2,391,495,78.9899
ddqn,MSW_path_sf10_p70_S100_MMedium_Chain,0,378,496,76.2097
ddqn,MSW_path_sf10_p70_S100_MMedium_Chain,1,374,496,75.4032
ddqn,MSW_path_sf10_p70_S100_MMedium_Chain,2,383,496,77.2177
ddqn,MSW_path_sf10_p70_S25_M0_Chain,0,126,496,25.4032
ddqn,MSW_path_sf10_p70_S25_M0_Chain,1,127,496,25.6048
ddqn,MSW_path_sf10_p70_S25_M0_Chain,2,126,496,25.4032
ddqn,MSW_path_sf10_p70_S25_MHigh_Chain,0,165,496,33.2661
ddqn,MSW_path_sf10_p70_S25_MHigh_Chain,1,146,496,29.4355
ddqn,MSW_path_sf10_p70_S25_MHigh_Chain,2,137,496,27.621
ddqn,MSW_path_sf10_p70_S25_MLow_Chain,0,122,495,24.6465
ddqn,MSW_path_sf10_p70_S25_MLow_Chain,1,122,495,24.6465
ddqn,MSW_path_sf10_p70_S25_MLow_Chain,2,120,495,24.2424
ddqn,MSW_path_sf10_p70_S25_MMedium_Chain,0,112,496,22.5806
ddqn,MSW_path_sf10_p70_S25_MMedium_Chain,1,130,496,26.2097
ddqn,MSW_path_sf10_p70_S25_MMedium_Chain,2,107,496,21.5726
ddqn,MSW_path_sf10_p70_S50_M0_Chain,0,315,496,63.5081
ddqn,MSW_path_sf10_p70_S50_M0_Chain,1,311,496,62.7016
ddqn,MSW_path_sf10_p70_S50_M0_Chain,2,306,496,61.6935
ddqn,MSW_path_sf10_p70_S50_MHigh_Chain,0,301,496,60.6855
ddqn,MSW_path_sf10_p70_S50_MHigh_Chain,1,278,496,56.0484
ddqn,MSW_path_sf10_p70_S50_MHigh_Chain,2,296,496,59.6774
ddqn,MSW_path_sf10_p70_S50_MLow_Chain,0,301,495,60.8081
ddqn,MSW_path_sf10_p70_S50_MLow_Chain,1,297,495,60.0
ddqn,MSW_path_sf10_p70_S50_MLow_Chain,2,291,495,58.7879
ddqn,MSW_path_sf10_p70_S50_MMedium_Chain,0,295,496,59.4758
ddqn,MSW_path_sf10_p70_S50_MMedium_Chain,1,288,496,58.0645
ddqn,MSW_path_sf10_p70_S50_MMedium_Chain,2,271,496,54.6371
ddqn,MSW_path_sf10_p70_S75_M0_Chain,0,339,496,68.3468
ddqn,MSW_path_sf10_p70_S75_M0_Chain,1,325,496,65.5242
ddqn,MSW_path_sf10_p70_S75_M0_Chain,2,326,496,65.7258
ddqn,MSW_path_sf10_p70_S75_MHigh_Chain,0,334,496,67.3387
ddqn,MSW_path_sf10_p70_S75_MHigh_Chain,1,319,496,64.3145
ddqn,MSW_path_sf10_p70_S75_MHigh_Chain,2,330,496,66.5323
ddqn,MSW_path_sf10_p70_S75_MLow_Chain,0,333,495,67.2727
ddqn,MSW_path_sf10_p70_S75_MLow_Chain,1,337,495,68.0808
ddqn,MSW_path_sf10_p70_S75_MLow_Chain,2,326,495,65.8586
ddqn,MSW_path_sf10_p70_S75_MMedium_Chain,0,338,496,68.1452
ddqn,MSW_path_sf10_p70_S75_MMedium_Chain,1,330,496,66.5323
ddqn,MSW_path_sf10_p70_S75_MMedium_Chain,2,331,496,66.7339
