arm,config,seed,requests,D,D0,D1,D2,D_unknown,D_expected_saveable
cwfree120,MSW_path_sf10_p70_S100_MMedium_Chain,2,496,124,0,50,70,4,110.16
cwfree120,MSW_path_sf10_p70_S25_M0_Chain,0,496,190,76,54,50,10,86.54
cwfree120,MSW_path_sf10_p70_S25_M0_Chain,1,496,194,77,53,53,11,87.93
cwfree120,MSW_path_sf10_p70_S25_M0_Chain,2,496,188,76,46,56,10,84.7
cwfree120,MSW_path_sf10_p70_S25_MHigh_Chain,0,496,215,11,154,36,14,169.67
cwfree120,MSW_path_sf10_p70_S25_MHigh_Chain,1,496,220,8,163,38,11,179.3
cwfree120,MSW_path_sf10_p70_S25_MHigh_Chain,2,496,210,10,160,28,12,168.29
cwfree120,MSW_path_sf10_p70_S25_MLow_Chain,0,495,225,13,172,28,12,174.5
cwfree120,MSW_path_sf10_p70_S25_MLow_Chain,1,495,226,14,171,28,13,175.14
cwfree120,MSW_path_sf10_p70_S25_MLow_Chain,2,495,228,15,175,25,13,175.42
cwfree120,MSW_path_sf10_p70_S25_MMedium_Chain,0,496,238,8,182,34,14,192.88
cwfree120,MSW_path_sf10_p70_S25_MMedium_Chain,1,496,242,8,187,33,14,197.83
cwfree120,MSW_path_sf10_p70_S25_MMedium_Chain,2,496,243,8,188,33,14,197.84
cwfree120,MSW_path_sf10_p70_S50_M0_Chain,0,496,186,0,62,120,4,147.6
cwfree120,MSW_path_sf10_p70_S50_M0_Chain,1,496,199,0,69,126,4,159.17
cwfree120,MSW_path_sf10_p70_S50_M0_Chain,2,496,192,0,66,122,4,152.75
cwfree120,MSW_path_sf10_p70_S50_MHigh_Chain,0,496,191,0,134,45,12,161.05
cwfree120,MSW_path_sf10_p70_S50_MHigh_Chain,1,496,202,0,134,56,12,170.42
cwfree120,MSW_path_sf10_p70_S50_MHigh_Chain,2,496,169,0,109,49,11,141.59
cwfree120,MSW_path_sf10_p70_S50_MLow_Chain,0,495,190,0,121,57,12,159.4
cwfree120,MSW_path_sf10_p70_S50_MLow_Chain,1,495,201,0,131,58,12,168.95
cwfree120,MSW_path_sf10_p70_S50_MLow_Chain,2,495,194,0,130,52,12,162.71
cwfree120,MSW_path_sf10_p70_S50_MMedium_Chain,0,496,205,0,145,52,8,176.84
cwfree120,MSW_path_sf10_p70_S50_MMedium_Chain,1,496,201,0,137,56,8,173.9
cwfree120,MSW_path_sf10_p70_S50_MMedium_Chain,2,496,207,0,149,50,8,179.22
cwfree120,MSW_path_sf10_p70_S75_M0_Chain,0,496,176,0,45,127,4,144.61
cwfree120,MSW_path_sf10_p70_S75_M0_Chain,1,496,182,0,49,129,4,151.03
cwfree120,MSW_path_sf10_p70_S75_M0_Chain,2,496,180,0,52,124,4,149.74
cwfree120,MSW_path_sf10_p70_S75_MHigh_Chain,0,496,153,0,85,60,8,131.11
cwfree120,MSW_path_sf10_p70_S75_MHigh_Chain,1,496,187,0,87,92,8,161.77
cwfree120,MSW_path_sf10_p70_S75_MHigh_Chain,2,496,179,0,72,99,8,154.98
cwfree120,MSW_path_sf10_p70_S75_MLow_Chain,0,495,155,0,85,66,4,135.89
cwfree120,MSW_path_sf10_p70_S75_MLow_Chain,1,495,168,0,99,65,4,148.19
cwfree120,MSW_path_sf10_p70_S75_MLow_Chain,2,495,182,0,109,69,4,160.49
cwfree120,MSW_path_sf10_p70_S75_MMedium_Chain,0,496,173,0,104,65,4,153.69
cwfree120,MSW_path_sf10_p70_S75_MMedium_Chain,1,496,192,0,110,78,4,170.76
cwfree120,MSW_path_sf10_p70_S75_MMedium_Chain,2,496,175,0,96,75,4,155.52
ddqn,MSW_path_sf10_p70_S100_M0_Chain,0,496,110,0,25,81,4,96.03
ddqn,MSW_path_sf10_p70_S100_M0_Chain,1,496,113,0,22,87,4,99.52
ddqn,MSW_path_sf10_p70_S100_M0_Chain,2,496,126,0,22,100,4,111.45
ddqn,MSW_path_sf10_p70_S100_MHigh_Chain,0,496,107,0,48,51,8,90.88
ddqn,MSW_path_sf10_p70_S100_MHigh_Chain,1,496,97,0,38,51,8,81.7
ddqn,MSW_path_sf10_p70_S100_MHigh_Chain,2,496,109,0,47,54,8,92.72
ddqn,MSW_path_sf10_p70_S100_MLow_Chain,0,495,111,0,40,67,4,98.23
ddqn,MSW_path_sf10_p70_S100_MLow_Chain,1,495,100,0,36,60,4,88.13
ddqn,MSW_path_sf10_p70_S100_MLow_Chain,2,495,104,0,37,63,4,91.8
ddqn,MSW_path_sf10_p70_S100_MMedium_Chain,0,496,116,0,39,73,4,102.82
ddqn,MSW_path_sf10_p70_S100_MMedium_Chain,1,496,121,0,42,75,4,107.41
ddqn,MSW_path_sf10_p70_S100_MMedium_Chain,2,496,112,0,49,59,4,99.14
ddqn,MSW_path_sf10_p70_S25_M0_Chain,0,496,189,74,63,41,11,86.16
ddqn,MSW_path_sf10_p70_S25_M0_Chain,1,496,187,75,62,40,10,84.79
ddqn,MSW_path_sf10_p70_S25_M0_Chain,2,496,190,80,55,45,10,83.62
ddqn,MSW_path_sf10_p70_S25_MHigh_Chain,0,496,221,10,156,41,14,176.18
ddqn,MSW_path_sf10_p70_S25_MHigh_Chain,1,496,210,10,160,27,13,166.82
ddqn,MSW_path_sf10_p70_S25_MHigh_Chain,2,496,225,11,173,28,13,178.32
ddqn,MSW_path_sf10_p70_S25_MLow_Chain,0,495,229,15,170,30,14,176.33
ddqn,MSW_path_sf10_p70_S25_MLow_Chain,1,495,238,14,182,28,14,183.23
ddqn,MSW_path_sf10_p70_S25_MLow_Chain,2,495,217,14,163,26,14,164.86
ddqn,MSW_path_sf10_p70_S25_MMedium_Chain,0,496,261,8,203,36,14,214.36
ddqn,MSW_path_sf10_p70_S25_MMedium_Chain,1,496,238,8,180,36,14,193.43
ddqn,MSW_path_sf10_p70_S25_MMedium_Chain,2,496,247,8,189,36,14,201.51
ddqn,MSW_path_sf10_p70_S50_M0_Chain,0,496,177,0,51,122,4,142.07
ddqn,MSW_path_sf10_p70_S50_M0_Chain,1,496,181,0,57,120,4,146.47
ddqn,MSW_path_sf10_p70_S50_M0_Chain,2,496,185,0,66,115,4,149.05
ddqn,MSW_path_sf10_p70_S50_MHigh_Chain,0,496,193,0,116,65,12,162.15
ddqn,MSW_path_sf10_p70_S50_MHigh_Chain,1,496,214,0,144,58,12,180.7
ddqn,MSW_path_sf10_p70_S50_MHigh_Chain,2,496,196,0,125,59,12,164.73
ddqn,MSW_path_sf10_p70_S50_MLow_Chain,0,495,193,0,114,67,12,161.24
ddqn,MSW_path_sf10_p70_S50_MLow_Chain,1,495,193,0,117,64,12,162.15
ddqn,MSW_path_sf10_p70_S50_MLow_Chain,2,495,201,0,128,61,12,168.59
ddqn,MSW_path_sf10_p70_S50_MMedium_Chain,0,496,189,0,126,55,8,162.34
ddqn,MSW_path_sf10_p70_S50_MMedium_Chain,1,496,196,0,139,49,8,169.13
ddqn,MSW_path_sf10_p70_S50_MMedium_Chain,2,496,216,0,158,50,8,186.94
ddqn,MSW_path_sf10_p70_S75_M0_Chain,0,496,156,0,38,114,4,129.53
ddqn,MSW_path_sf10_p70_S75_M0_Chain,1,496,167,0,51,112,4,137.62
ddqn,MSW_path_sf10_p70_S75_M0_Chain,2,496,168,0,38,126,4,139.81
ddqn,MSW_path_sf10_p70_S75_MHigh_Chain,0,496,160,0,82,70,8,138.08
ddqn,MSW_path_sf10_p70_S75_MHigh_Chain,1,496,174,0,86,80,8,150.75
ddqn,MSW_path_sf10_p70_S75_MHigh_Chain,2,496,163,0,84,71,8,140.29
ddqn,MSW_path_sf10_p70_S75_MLow_Chain,0,495,161,0,100,57,4,141.76
ddqn,MSW_path_sf10_p70_S75_MLow_Chain,1,495,157,0,91,62,4,138.27
ddqn,MSW_path_sf10_p70_S75_MLow_Chain,2,495,167,0,96,67,4,148.91
ddqn,MSW_path_sf10_p70_S75_MMedium_Chain,0,496,157,0,95,58,4,139.54
ddqn,MSW_path_sf10_p70_S75_MMedium_Chain,1,496,163,0,86,73,4,145.23
ddqn,MSW_path_sf10_p70_S75_MMedium_Chain,2,496,162,0,86,72,4,143.95
